abandon,v 拋棄；遺棄 
bowl,n 保齡球 v投：滾
box,n 箱；盒；匣 
box office,n 售票處；票房 
boycott,v 杯葛；聯合抵制 n杯葛；聯合抵制
brace,n 支柱；支撐物 v支撐；加固
bracket,n 托架；撐架 
brain,n 智力，頭腦 
brainstorm,v 集體研討；集思廣益 
brake,v 煞車 n煞車
branch,n 樹枝；支流；分部；部門 
brand,n 品牌；商標 
brand-new,a 全新的；嶄新的 
brave,a 勇敢的：英勇的 
bravely,ad 勇敢地：英勇地 
bravo,n 喝采聲 
breach,n 破壞，違反 v破壞，違反
bread,n 麵包 
breadth,n 寬度；幅度 
break,v 打破；折斷 n破損；休息；機會
breakable,a 會破的；脆的 
breakdown,n 故障；損壞 
breakfast,n 早餐 
breakout,n 包圍突破 
breakthrough,n 突破性進展；突破 
breakup,n 中斷；中止 
breathe,v 呼吸；呼氣 
breathless,a 呼吸困難的；扣人心弦的 
breathtaking,a 驚人的；令人屏息的 
breeze,n 微風；和風 
brick,n 磚；磚塊 
bride,n 新娘 
bridge,n 橋：橋墩 
brief,a 簡短的；短暫的 
briefcase,n 公事包 
briefly,a 簡短地；短暫地 
bright,a 發亮的；晴朗的 
brighten,v 使明亮；使閃亮 
brilliant,a 光輝的；明亮的 
brisk,a 活潑的；生氣勃勃的 
brittle,a 易碎的；敏感的；難相處的 
broadcast,v 廣播；播送 
brochure,n 小冊子 
broker,n 代理人，中間人 
brokered,v 以中間人等身分安排⋯⋯ 
browse,v 瀏覽；觀看 
browser,n 瀏覽器 
bruise,n 傷痕；青腫 v使受瘀傷，使青腫
brush,v 刷；刷洗 n刷子
brush-off,n 拒絕；不理睬 
bruta,a 冷酷的；野蠻的 
brutally,ad 冷酷地；野蠻地 
bubble,n 泡泡 v沸騰；冒泡
bucket,n 水桶；提桶 
buckle,n 釦子；搭鉤 v扣住；扣緊
budge,v 微微移動；讓步 
budget,n 預算；經費 
build,v 建造；建立 n體格；體型
building,n 建築物；大樓 
bulk,n 體積；容積 a大量的；大批的
business,n 商業；職業 
businessman,n 商人 
busy,a 忙碌的 
button,n 鈕扣；按鈕 
buy,v 買；購買 
buyer,n 買主；買家C 
cab,n 計程車 
cabin,n 客艙；駕駛艙 
cabine,n 櫥；櫃 
cable,n 纜；索 
café,n 咖啡廳 
cafeteria,n 自助餐廳 
caffeine,n 咖啡因 
calcium,n 鈣 
calculate,v 計算；算 
calculation,n 計算；估計 
calculator,n 計算機 
calendar,n 日曆 
caliber,n 口徑；水準，程度 
call,v 叫喊；呼叫 n呼叫；通話
caller,n 訪問者；探望者 
calling,n 呼喊；召喚 
calm,a 鎮靜的；沉著的 v使鎮定；使平靜
camera,n 照相機 
camp,n 營地；帳篷 v紮營；宿營
campaign,n 競選；活動 
campus,n 校園；校區 
cancel,v 取消；廢除；中止 
cancellation,n 取消 
candid,a 公正的，公平的 
candidate,n 候選人；候補者 
capability,n 能力；才能 
capable,a 有能力的；能幹的 
capacity,n 容量；容積 
capital,n 首都；資本 
capitalization,n 資本化；資本額 
capitalize,v 利用；供給（資本） 
capture,v 捕獲；俘虜 n捕獲；俘虜
care,v 在乎：關心 
career,n 職業；工作 
careful,a 小心翼翼的；仔細的 
carefully,ad 小心翼翼地；仔細地 
cargo,n 貨物 
carpet,n 地毯 
carrier,n 運送人；搬運人 
carry,v 運載；搬運；支撐 
carry,out Ph 實行；執行
cart,n 小車，手推車 
carton,n 紙盒；紙板箱 
case,n 盒；套 
cash,n 現金；現款 v把⋯⋯兌現
cast,v 投；擲；拋 n投；班底；演員
catalog,n 目錄；目錄冊 
categorize,v 將⋯分類 
category,n 種類；部屬；類目 
cater,v 提供飲食；承辦宴席 
catering,n 承辦酒席；提供飲食及服務 
cause,n 原因；起因 v導致；使發生
caution,n 小心；謹慎 
cautious,a 十分小心的；謹慎的 
central,a 中心的；中央的 
century,n 世紀；一百年 
ceremony,n 儀式；典禮 
certain,a 確鑿的；無疑的 
certainly,ad 無疑地；必定 
certificate,n 證明書；執照 
certify,v 證明，證實 
chain,n 鏈條；連鎖；連續 
challenge,v 挑戰；提出異議 
change,v 改變；更改 n變化；變更；零錢
changeable,a 易變的；不定的 
chapter,n 篇章；篇 
character,n 角色；性格；特性 
characteristic,a 特有的；獨特的 
characterize,v 具有⋯⋯的特徵；以⋯⋯為特徵 
charge,v 控告；索價 
chart,n 圖表；曲線圖 
check,n （美）檢查；支票；帳單 
chef,n 廚師 
cheque,n （英）支票 
choice,n 選擇；挑選 
choose,v 選擇；挑選 
chore,n 例行工作；家務活 
circle,n 圓形的東西；圈v 畫圓圈；圈出；圍著
circumspect,a 慎重的；謹慎小心的 
circumstance,n 情況；環境；情勢 
circumvent,v 規避；防止⋯⋯發生 
citation,n 引用；引證 
citizen,n 市民；居民 
citizenship,n 公民權；公民身分 
city,n 城市；都市 
civic,a 城市的；市民的 
claim,v 主張；斷言；聲稱 
clarify,v 澄清；闡明 
clause,n 條款；款 
clear,a 明亮的；顯然的v 清除；收拾
clearance,n 清除；清掃 
clearly,ad 顯然地；無疑地；明亮地 
clerk,n 辦事員；職員 
client,n 委託人；客戶 
climate,n 氣候 
climb,v 爬；攀爬 
clip,v 剪；修剪 n剪；修剪
clock,n 時鐘 
coach,n 教練 v訓練；指導
cognition,n 認知；知識 
coherent,a 一致的；協調的 
cohesive,a 凝聚性的；有結合力的 
coin,n 硬幣 
coincidence,n 巧合；符合 
collaborate,v 合作；勾結 
collaboration,v 合作；勾結 
collateral,a 並行的；附屬的 n擔保品；抵押品
colleague,n 同事；同僚 
collect,v 收集；採集 
collectible,a 可收集的 
collection,n 採集；收取 
college,n 大學；學院 
collide,v 碰撞；相撞 
combination,n 結合；聯合 
combine,v 結合；聯合 
come,v 來；來到 
come across,Ph 碰見；被理解 
comfort,v 安慰；慰問 n安逸；舒適
comfortable,a 舒適的；舒服的 
comforting,a 令人欣慰的 
command,v 指揮；控制 
comment,n 註釋；評論v 下評論
commentary,n 評論 
commerce,n 商業；貿易 
commercial,a 商業的；商務的 n廣告
commission,n 佣金；委任 v委任；委託
commit,v 犯（罪）；做（錯事等） 
commitment,n 託付；交託 
committed,a 忠誠的，堅定的 
commodity,n 商品；日用品 
common,a 普通的；常見的 
communication,n 溝通；交流 
commute,v 通勤；替代；代償 
commuter,n 通勤者 
company,n 陪伴；公司 
comparatively,ad 對比地；比較地 
compare,v 比較；對照 
comparison,n 比較；對照 
compatible,a 能共處的；可並立的 
compel,v 強迫；強求 
compensate,v 補償；賠償 
compensation,n 補償；賠償 
compete,v 對抗；競爭 
competent,a 有能力的；能勝任的 
competition,n 比賽；競賽 
competitive,a 競爭性的；好競爭的 
competitor,n 競爭者；對手 
complain,v 抱怨 
complaint,n 抱怨 
complete,v 競爭；比賽 
completion,n 完成；結束 
complex,a 複雜的；錯綜複雜的 n複合物；綜合體
compliant,a 順從的；應允的 
complicate,v 使複雜化；使費解 
complicated,a 複雜的；難懂的 
compliment,n 稱讚：讚美 v稱讚：讚美
comply,v 依從；順從 
component,n 構成要素；零件 a組成的；構成的
compose,v 作（詩，曲等）；使安定 
composition,n 寫作；作曲 
composure,n 平靜；鎮靜 
comprehend,v 理解；了解 
comprehensive,a 廣泛的；無所不包的 
comprise,v 包含；包括 
compromise,v 妥協；和解 n妥協；和解
compute,v 計算；估算 
conceal,v 隱藏；隱瞞 
conceive,v 想像；設想 
concentrate,v 集中；聚集；全神貫注 
concept,n 概念；觀念 
concern,v 關於；涉及 n關心的事；關係
concerning,prep 關於 
conclude,v 結束；推斷出 
conclusion,n 結論 
concrete,a 有形的；實在的 n混凝土v凝結；固結
concur,v 同意；一致 
condition,n 情況；狀況 
conduct,v 帶領；實施 
conference,n 會議 
confident,a 有自信的；確信的 
confidential,a 祕密的；機密的 
confirm,v 證實；確定 
confirmation,n 確定；確證 
confuse,v 使困惑；混淆 
confusion,n 混亂；騷動 
conscious,a 神志清醒的；有知覺的 
consciously,ad 有意識地；自覺地 
consciousness,n 意念；意識 
consecutive,a 連續不斷的；連貫的 
consequently,ad 結果；因此；必然地 
conservative,a 保守的；守舊的 n保守者；守舊者
conserve,v 保存；保護 
consider,v 考慮；細想 
consideration,n 體貼；動機；原因 
considering,prep 就⋯⋯而論；考慮到 ad各方面
consist,v 組成；構成 
consistency,n 一致；一貫 
consistent,a 始終如一的；前後一致的 
consistently,ad 一貫地；固守地 
constant,a 固定的；不變的 
constrain,v 強迫；迫使 
constraint,n 約束；限制 
construction,n 建造；建設 
consultancy,n 諮詢公司；顧問公司 
consultant,n 顧問；諮詢者 
consume,v 消耗；花費 
consumer,n 消費者 
consumption,n 消費 
contact,n 接觸；交往；聯繫 a接觸的；接觸傳染
contain,v 包含；容納 
contemporary,a 當代的；同時代的 
content,n 滿足 a滿足的；滿意的v滿足
contest,v 競爭；角逐 n比賽
context,n 來龍去脈；背景 
continue,v 繼續；持續 
continuity,n 連續性；持續性 
continuous,a 連續的；不斷的 
contract,n 合約 v締結；承包
contractor,n 立契約者；承包人 
contrary,a 相反的；對立的 ad相反地；反對地
control,v 控制；支配 n支配；控制
controlling,a 管理的；控制的 
convenience,n 便利；方便 
convenient,a 便利的：方便的 
convention,n 會議；大會；集合 
conventional,a 習慣的；慣例的 
conversation,n 會話；對話 
convey,v 告知；傳達 
conviction,n 定罪；確信 
convince,v 說服 
cooperation,n 合作；協力 
coordinate,v 協調；調節 
cope,v 應付；處理 
copy,v 抄寫；複製 n抄寫；副本
cordially,ad 熱誠地；誠摯地 
corner,n 角落 
corporate,a 全體的；共同的 n企業；集團
correct,a 正確的；對的v 改正；糾正
corrupt,a 腐敗的，貪汙的 v墮落；腐化
corruption,n 墮落；腐化 
cost,v 花費；付出 n費用；成本
council,n 會議；議事 
counsel,n 商議；審議 v勸告；忠告
counter,ad 反方向地，相反地 a相反的v反對；反
couple,n 情侶；夫妻 
coupon,n 贈券；減價優待券 
courier,n 信差；導遊；情報員 
course,n 路線；方向；課程；系列 
court,n 法庭；法院 
courteously,ad 有禮貌地；親切地 
courtesy,n 禮貌；殷勤 
cover,v 遮蓋；覆蓋 n遮蓋物；封面
coverage,n 覆蓋；覆蓋範圍 
crack,n 裂縫；裂痕 v裂開；爆裂
craft,n 工藝，手藝 v精巧地製作
crafted,a 製作的；工藝的 
crane,n 鶴 v伸著脖子看
crash,v 碰撞；倒下 n墜毀，迫降
create,v 創造；製作 
creation,n 作品；製作物 
creative,a 有創意的：創新的 
creativity,n 創意；創造力 
creature,n 生物；動物 
credential,n 憑據；證書 
credible,a 可信的；可靠的 
credit,n 賒帳；信譽；功勞 v相信；把⋯⋯歸於
creditor,n 債權人；貸方 
crew,n 工作人員；船員 
crime,n 犯罪；罪刑 
criminal,n 罪犯 a犯罪的；犯法的
crisis,n 困難；危及 
criterion,n 標準；準則 
critic,n 評論家 
critical,a 批判的；評論的 
criticize,v 批判；評論 
crop,n 作物：莊稼 v播種
cross,v 橫穿；渡過 n十字形；十字架
crowd,n 群眾；觀眾 
crowded,a 擁擠的；滿的 
crucial,a 重要的；嚴酷的 
cruise,v 巡航；航遊 n巡航；航遊
cuisine,n 烹飪；烹調法；菜餚 
cupboard,n 食櫥；碗櫃 
cure,n 治療；痊癒 v治癒
curious,a 好奇的 
currency,n 通貨；貨幣 
current,a 現時的；當前的 n流動；水流
cushion,n 墊子；坐墊 
custom,n 習俗；慣例 a訂做的；訂製的
customer,n 顧客；買主 
customize,v 訂做；客製化 
customs,n 關稅；海關 
cutback,n 減少；剪修新芽 
cycle,n 週期；循環 v循環；輪轉
daily,a 每日的；日常的 
damage,n 損害；損失 v損害；毀壞
danger,n 危急；危險 
dangerous,a 危險的 
